time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,1941.63095383173,52301.415517669,4866.09849871984,177.978990251648,-0.31294120187967,0.0312843619422567,5.0977227581031
0.1,1948.31734937794,52284.930754894,4866.65520381546,178.118146267897,-0.260656514007052,0.0245888105137187,5.09403622170226
0.2,1954.94934900608,52268.4054548666,4867.09313101794,178.257302284146,-0.208334004406699,0.018329373181863,5.09088445440843
0.3,1961.53525716934,52251.8441829231,4867.41984718457,178.396458300396,-0.155997277444971,0.0165959406227814,5.08743225881429
0.4,1968.06924786187,52235.2468252382,4867.71589929702,178.535614316645,-0.1036443570869,0.0165843727442884,5.08459531186313
0.5,1974.56118775846,52218.6180336149,4868.01197584197,178.674770332894,-0.0661820797608818,0.0165714542186542,5.08272064355819
0.6,1981.02697988839,52201.9641269753,4868.30805236811,178.813926349143,-0.0423299680369323,0.0165585568704637,5.08152704903741
0.7,1987.47791100627,52185.2895346575,4868.60412889455,178.953082365393,-0.0270992087813824,0.0165456795824108,5.08076488008257
0.8,1993.92114310038,52168.5970466538,4868.90020542127,179.092238381642,-0.0173596400137252,0.016532822308559,5.08027749845957
0.9,2000.36124419319,52151.8884340516,4869.19628194826,179.231394397891,-0.0111262532845218,0.0165199850022821,5.07996557128303
1,2006.80113442589,52135.1648255936,4869.49235847554,179.37055041414,-0.0635285925678088,0.0112820977038041,5.07982396160891
1.1,2013.24412363037,52118.4261015455,4869.69472178998,179.50970643039,-0.115941054240438,0.0106941456198207,5.07871938537442
1.2,2019.67364538708,52101.6671712151,4869.88668842496,179.648862446639,-0.168363385098266,0.0106863128906675,5.076631207013
1.3,2026.07311508056,52084.8818481284,4870.07866316654,179.788018462888,-0.220795925962355,0.0106780410247139,5.07358605160934
1.4,2032.42635923984,52068.0640970843,4870.270637902,179.927174479138,-0.260497559142391,0.0106697823042775,5.06956791531336
1.5,2038.71684190253,52051.2079155852,4870.46261263765,180.066330495387,-0.285208014709358,0.0106615363490209,5.0647998217094
1.6,2044.93168491548,52034.3088710617,4870.65458737347,180.205486511636,-0.300471290123107,0.0106533031296409,5.05955911913142
1.7,2051.06261500996,52017.3644024785,4870.84656210947,180.344642527886,-0.309870640791113,0.0106450826166536,5.05402506621888
1.8,2057.10434251094,52000.373152513,4871.03853684565,180.483798544135,-0.315669368037399,0.0106368747806663,5.04831088853942
1.9,2063.05346827685,51983.3345180698,4871.23051158201,180.622954560384,-0.319272856764899,0.010628679592377,5.04248689287403
2,2068.90777157455,51966.248360054,4871.42248631854,180.762110576634,-0.360352000732712,0.00523867808681472,5.03837547489349
2.1,2074.69648092252,51949.1243627654,4871.51718133617,180.901266592883,-0.349405132756468,0.00523892266004187,5.03166318305307
2.2,2080.37448718945,51931.948683868,4871.61195367712,181.040422609132,-0.343023783990419,0.00523489245989939,5.02517922690245
2.3,2085.94529062569,51914.7233097509,4871.70672595858,181.179578625381,-0.339306166567935,0.00523087174126741,5.01882849349575
2.4,2091.410786619,51897.4496370416,4871.80149824018,181.318734641631,-0.337173306252231,0.00522685719170956,5.01255701995091
2.5,2096.77195909022,51880.1287339684,4871.89627052187,181.45789065788,-0.335987495714556,0.00522284879956415,5.00633291253256
2.6,2102.02925306364,51862.7614791735,4871.99104280363,181.597046674129,-0.335369217294955,0.00521884655067394,5.00013719038009
2.7,2107.18279334917,51845.348641543,4872.08581508549,181.736202690379,-0.335091651752788,0.00521485043092696,4.9939585095581
2.8,2112.23251427595,51827.8909266163,4872.18058736743,181.875358706628,-0.335018878308277,0.00521086042625444,4.98779007224642
2.9,2117.17823715765,51810.389003738,4872.27535964945,182.014514722877,-0.3350693041645,0.00520687652263065,4.98162779773603
3,2122.01971673447,51792.843522,4872.37013193157,182.153670739126,-0.326751324722393,0.00618113883659525,4.97512860675584
3.1,2126.75065139225,51775.2536050539,4872.48272292745,182.292826755376,-0.328640412119892,0.00617567503995043,4.96913961020505
3.2,2131.37968968666,51757.6222103938,4872.59530033787,182.431982771625,-0.329871725004719,0.00617096485502427,4.96311771640667
3.3,2135.90592297032,51739.949779266,4872.70787775877,182.571138787874,-0.33070969491082,0.00616626128106722,4.95707615080787
3.4,2140.32867630482,51722.2368239381,4872.82045517977,182.710294804123,-0.331309541429379,0.00616156487235082,4.95102267678902
3.5,2144.64741371114,51704.4838987759,4872.93303260086,182.849450820373,-0.331765253958153,0.00615687561208088,4.94496199527167
3.6,2148.86168499023,51686.6915841271,4873.04561002205,182.988606836622,-0.332133713543247,0.00615219348394899,4.93889695118513
3.7,2152.97109341821,51668.8604767297,4873.15818744334,183.127762852871,-0.332449338215942,0.00614751847169596,4.93282926596038
