time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,36836.1599644962,8023.71724071064,1431.95341350497,164.182942329895,0,-0.0184488986189168,4.40287469429004
0.1,36831.1598681504,8008.081778313,1431.65053124145,164.042724999857,2.1138646388863e-13,-0.018464644132368,4.40287469429004
0.2,36826.1640434941,7992.45967362615,1431.34764939908,163.902507669819,3.39776943868914e-13,-0.0184804422456421,4.40287469429005
0.3,36821.172490531,7976.85092666136,1431.04476755745,163.76229033978,4.17643744343067e-13,-0.0184962674388711,4.40287469429005
0.4,36816.1852092622,7961.25553742256,1430.7418857162,163.622073009742,4.64771258583092e-13,-0.0185121197597722,4.40287469429006
0.5,36811.2021996891,7945.67350591366,1430.43900387533,163.481855679703,4.93206894125332e-13,-0.0185279992781441,4.40287469429007
0.6,36806.2234618128,7930.10483213857,1430.13612203485,163.341638349665,5.10282696477963e-13,-0.0185439060640441,4.40287469429008
0.7,36801.2489956347,7914.54951610124,1429.83324019474,163.201421019627,5.20458480669373e-13,-0.01855984018777,4.40287469429009
0.8,36796.278801156,7899.0075578056,1429.53035835502,163.061203689588,5.26445487810057e-13,-0.018575801719862,4.4028746942901
0.9,36791.312878378,7883.47895725562,1429.22747651568,162.92098635955,5.29891039860933e-13,-0.0185917907311026,4.40287469429011
1,36786.3512273019,7867.96371445525,1428.92459467673,162.780769029512,5.31795476140237e-13,-0.0186078072925187,4.40287469429012
1.1,36781.393847929,7852.46182940847,1428.62171283816,162.640551699473,5.32765916093079e-13,-0.0186238514753821,4.40287469429013
1.2,36776.4407402606,7836.97330211926,1428.31883099999,162.500334369435,5.33170622940121e-13,-0.0186399233512106,4.40287469429014
1.3,36771.491904298,7821.49813259162,1428.0159491622,162.360117039396,5.33232850757378e-13,-0.0186560229917691,4.40287469429015
1.4,36766.5473400424,7806.03632082956,1427.7130673248,162.219899709358,5.33087868063913e-13,-0.0186721504690708,4.40287469429016
1.5,36761.6070474951,7790.5878668371,1427.41018548778,162.07968237932,5.32817587288717e-13,-0.0186883058553781,4.40287469429018
1.6,36756.6710266575,7775.15277061825,1427.10730365117,161.939465049281,5.3247158289764e-13,-0.0187044892232038,4.40287469429019
1.7,36751.7392775307,7759.73103217705,1426.80442181494,161.799247719243,5.3207984105317e-13,-0.018720700645312,4.4028746942902
1.8,36746.8118001162,7744.32265151756,1426.5015399791,161.659030389204,5.31660489249703e-13,-0.0187369401947196,4.40287469429021
1.9,36741.8885944151,7728.92762864383,1426.19865814367,161.518813059166,5.3122447985821e-13,-0.0187532079446968,4.40287469429022
2,36736.9696604289,7713.54596355992,1425.89577630862,161.378595729128,5.30778426379633e-13,-0.0187695039687687,4.40287469429023
2.1,36732.0549981588,7698.17765626993,1425.59289447397,161.238378399089,5.30326320046511e-13,-0.0187858283407164,4.40287469429024
2.2,36727.144607606,7682.82270677793,1425.29001263972,161.098161069051,5.29870568182086e-13,-0.0188021811345774,4.40287469429025
2.3,36722.238488772,7667.48111508803,1424.98713080587,160.957943739013,5.29412621938597e-13,-0.018818562424648,4.40287469429026
2.4,36717.336641658,7652.15288120434,1424.68424897242,160.817726408974,5.28953355579166e-13,-0.018834972285483,4.40287469429027
2.5,36712.4390662654,7636.83800513098,1424.38136713937,160.677509078936,5.28493295510457e-13,-0.018851410791898,4.40287469429028
2.6,36707.5457625955,7621.53648687208,1424.07848530672,160.537291748897,5.28032758506852e-13,-0.0188678780189698,4.40287469429029
2.7,36702.6567306496,7606.24832643179,1423.77560347447,160.397074418859,5.27571935082661e-13,-0.018884374042038,4.4028746942903
2.8,36697.771970429,7590.97352381426,1423.47272164263,160.256857088821,5.27110939750528e-13,-0.0189008989367057,4.40287469429031
2.9,36692.891481935,7575.71207902366,1423.16983981119,160.116639758782,5.26649841300718e-13,-0.0189174527788412,4.40287469429032
3,36688.0152651691,7560.46399206416,1422.86695798016,159.976422428744,5.26188681033003e-13,-0.0189340356445786,4.40287469429034
3.1,36683.1433201325,7545.22926293996,1422.56407614954,159.836205098706,5.25727483728158e-13,-0.0189506476103194,4.40287469429035
3.2,36678.2756468265,7530.00789165524,1422.26119431932,159.695987768667,5.25266264246497e-13,-0.0189672887527335,4.40287469429036
3.3,36673.4122452526,7514.79987821422,1421.95831248951,159.555770438629,5.24805031494099e-13,-0.0189839591487603,4.40287469429037
3.4,36668.5531154121,7499.60522262112,1421.65543066011,159.41555310859,5.24343790805417e-13,-0.01900065887561,4.40287469429038
3.5,36663.6982573063,7484.42392488017,1421.35254883113,159.275335778552,5.23882545373735e-13,-0.0190173880107649,4.40287469429039
3.6,36658.8476709366,7469.25598499561,1421.04966700255,159.135118448514,5.23421297109474e-13,-0.0190341466319803,4.4028746942904
3.7,36654.0013563043,7454.10140297169,1420.74678517439,158.994901118475,5.22960047154889e-13,-0.019050934817286,4.40287469429041
3.8,36649.1593134109,7438.96017881269,1420.44390334664,158.854683788437,5.22498796192541e-13,-0.0190677526449872,4.40287469429042
3.9,36644.3215422576,7423.83231252288,1420.14102151931,158.714466458398,5.22037544630055e-13,-0.019084600193666,4.40287469429043
4,36639.4880428459,7408.71780410654,1419.8381396924,158.57424912836,4.69548242659516e-13,-0.024320587949649,4.40287469429044
4.1,36634.6593624441,7393.61836488956,1419.45251581328,158.434031798322,4.32674342353845e-13,-0.029556575705632,4.40287469429045
4.2,36629.8356323453,7378.5344054296,1418.98430724519,158.293814468283,3.63713978312378e-13,-0.0298296068807208,4.40287469429046
4.3,36625.0162104288,7363.46391779453,1418.5121930417,158.153597138245,3.2051996802278e-13,-0.0298562808720718,4.40287469429046
4.4,36620.2010614108,7348.40679165061,1418.04007536804,158.013379808207,2.9478499412043e-13,-0.0298827826668613,4.40287469429047
4.5,36615.3901852631,7333.36302690984,1417.56795769196,157.873162478168,2.79424694396117e-13,-0.0299093313638346,4.40287469429047
4.6,36610.583581989,7318.33262358275,1417.09584001654,157.73294514813,2.70224641519486e-13,-0.029935927282807,4.40287469429048
4.7,36605.7812515921,7303.31558167995,1416.62372234179,157.592727818091,2.64680178177324e-13,-0.0299625705500728,4.40287469429049
4.8,36600.9831940756,7288.31190121209,1416.15160466769,157.452510488053,2.61303677771421e-13,-0.0299892612922039,4.40287469429049
4.9,36596.189409443,7273.32158218985,1415.67948699427,157.312293158015,2.59212111200009e-13,-0.0300159996362235,4.4028746942905
5,36591.3998976977,7258.34462462393,1415.20736932151,157.172075827976,6.31329707340545e-13,-0.0352519873922065,4.4028746942905
5.1,36586.6154728753,7243.38357403005,1414.65342126671,157.031858497938,8.89656562897843e-13,-0.0404879751481895,4.40287469429051
5.2,36581.8362645671,7228.43883564372,1414.01780475999,156.891641167899,1.03410757127393e-12,-0.043786042188507,4.40287469429052
5.3,36577.0619876472,7213.5095178678,1413.33105784769,156.751423837861,1.06077680322145e-12,-0.0438283740054471,4.40287469429055
5.4,36572.2919864495,7198.59357041282,1412.64426177478,156.611206507823,1.07604122910705e-12,-0.0438676424043887,4.40287469429057
5.5,36567.5262603257,7183.69099125192,1411.95746565886,156.470989177784,1.08463660430074e-12,-0.0439069784384377,4.40287469429059
5.6,36562.7648092827,7168.80178040633,1411.27066954389,156.330771847746,1.08929661799847e-12,-0.0439463851010839,4.40287469429061
5.7,36558.0076333279,7153.92593789917,1410.58387342991,156.190554517708,1.09163581357644e-12,-0.0439858625853086,4.40287469429063
5.8,36553.2547324687,7139.06346375363,1409.89707731693,156.050337187669,1.09260719780591e-12,-0.0440254110822681,4.40287469429066
5.9,36548.5061067124,7124.21435799296,1409.21028120494,155.910119857631,1.09277294531804e-12,-0.0440650307838051,4.40287469429068
6,36543.7617560666,7109.37862064047,1408.52348509395,155.769902527592,9.45043804117204e-13,-0.0470222200734935,4.4028746942907
6.1,36539.0223110383,7094.55822331187,1407.79129032447,155.629685197554,7.94081572316982e-13,-0.0470674380943584,4.40287469429072
6.2,36534.2871423339,7079.75119818593,1407.05905169704,155.489467867516,7.0520051122741e-13,-0.0471099164697493,4.40287469429073
6.3,36529.5562493338,7064.9575433253,1406.32681303115,155.349250537477,6.52846095754941e-13,-0.0471524690662969,4.40287469429075
6.4,36524.8296320461,7050.17725875501,1405.59457436629,155.209033207439,6.21937773020561e-13,-0.047195098630881,4.40287469429076
6.5,36520.1072904794,7035.41034450191,1404.86233570252,155.068815877401,6.03613188963203e-13,-0.0472378053748999,4.40287469429077
6.6,36515.3892246422,7020.65680059297,1404.13009703982,154.928598547362,5.92667553228016e-13,-0.0472805895082201,4.40287469429079
6.7,36510.6754345433,7005.91662705519,1403.39785837822,154.788381217324,5.86046078307163e-13,-0.0473234512414677,4.4028746942908
6.8,36505.9659201912,6991.18982391566,1402.6656197177,154.648163887285,5.81956996446762e-13,-0.0473663907860343,4.40287469429081
6.9,36501.2606815947,6976.47639120156,1401.93338105827,154.507946557247,5.79350028621016e-13,-0.0474094083540803,4.40287469429082
7,36496.5597187624,6961.77632894011,1401.20114239993,154.367729227209,5.77609928187581e-13,-0.0474525041585383,4.40287469429084
7.1,36491.8630317032,6947.08963715864,1400.4689037427,154.22751189717,5.76376519196579e-13,-0.0474956784131167,4.40287469429085
7.2,36487.1706204257,6932.41631588452,1399.73666508656,154.087294567132,5.75439084257776e-13,-0.0475389313323033,4.40287469429086
7.3,36482.4824849388,6917.75636514523,1399.00442643153,153.947077237093,5.74674424829213e-13,-0.0475822631313689,4.40287469429087
7.4,36477.7986252512,6903.10978496831,1398.2721877776,153.806859907055,5.74010557970181e-13,-0.0476256740263706,4.40287469429088
7.5,36473.1190413718,6888.47657538135,1397.53994912478,153.666642577017,5.73405452486053e-13,-0.0476691642341556,4.4028746942909
7.6,36468.4437333094,6873.85673641206,1396.80771047307,153.526425246978,5.72834582117452e-13,-0.047712733972365,4.40287469429091
7.7,36463.772701073,6859.25026808821,1396.07547182248,153.38620791694,5.72283644506761e-13,-0.047756383459437,4.40287469429092
7.8,36459.1059446714,6844.65717043762,1395.34323317301,153.245990586902,5.71744304761951e-13,-0.0478001129146109,4.40287469429093
7.9,36454.4434641135,6830.07744348822,1394.61099452465,153.105773256863,5.71211708795005e-13,-0.0478439225579307,4.40287469429094
8,36449.7852594083,6815.51108726801,1393.87875587742,152.964559795869,5.74239300208825e-13,-0.0478881226931547,4.40287469429096
8.1,36445.131360941,6800.9581967922,1393.14651726202,152.823346334876,5.75769971496695e-13,-0.0479324066142343,4.40287469429097
8.2,36440.481768721,6786.41877209073,1392.4142786478,152.682132873882,5.76431915284855e-13,-0.0479767725463872,4.40287469429098
8.3,36435.8364827576,6771.89281319224,1391.68204003474,152.540919412888,5.76590049553832e-13,-0.0480212207158701,4.40287469429099
8.4,36431.1955030599,6757.38032012543,1390.94980142284,152.399705951894,5.76456200691778e-13,-0.0480657513516362,4.402874694291
8.5,36426.5588296371,6742.88129291911,1390.21756281211,152.258492490901,5.76153246605602e-13,-0.0481103646834912,4.40287469429102
8.6,36421.9264624985,6728.39573160213,1389.48532420254,152.117279029907,5.75752419404257e-13,-0.0481550609420957,4.40287469429103
8.7,36417.2984016533,6713.92363620346,1388.75308559414,151.976065568913,5.75294984417076e-13,-0.0481998403589695,4.40287469429104
8.8,36412.6746471108,6699.46500675212,1388.02084698692,151.834852107919,5.74804830843851e-13,-0.0482447031664952,4.40287469429105
8.9,36408.0551988804,6685.01984327723,1387.28860838088,151.693638646926,5.74295779189813e-13,-0.0482896495979224,4.40287469429107
9,36403.4400569713,6670.58814580798,1386.55636977601,151.542463876378,6.3953752168008e-13,-0.0483378462657568,4.40287469429108
