time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,0,0,4856.99781977027,105.908760858865,-0.0341073810668762,-0.0456786123863953,3.84396992796793
0.1,-8.07567379709454,-6.83493028471431,4856.51421146532,105.988411936063,-0.0169193670927205,-0.0509468731319119,3.84311248492868
0.2,-16.1612232493503,-13.6663284462631,4855.97446721032,106.068063013261,-0.00765538307874062,-0.0540188352879377,3.8426504621497
0.3,-24.2547006422472,-20.4980186653566,4855.40177850355,106.147714090459,-0.00298816241445377,-0.0539761689447572,3.8424177294084
0.4,-32.3558653907396,-27.3329696402721,4854.82911197355,106.227365167657,-0.00116791230692253,-0.0539356590151212,3.84232696174863
0.5,-40.4637476514805,-34.1723284827591,4854.25644542635,106.307016244856,-0.000457011590020323,-0.053895208302395,3.842291512266
0.6,-48.5779696816618,-41.0165428934079,4853.68377887867,106.386667322054,-0.000179040945751028,-0.0538548182492512,3.84227765106831
0.7,-56.6983839608662,-47.8657877275227,4853.11111233051,106.466318399252,-7.02237643604358e-05,-0.0538144887180958,3.84227222481368
0.8,-64.8249328011318,-54.7201313507848,4852.53844578187,106.54596947645,-2.757535164172e-05,-0.0537742195729333,3.84227009811265
0.9,-72.9575936116542,-61.5796005198442,4851.96577923275,106.625620553648,-1.08408134943454e-05,-0.0537340106781744,3.84226926362835
1,-81.0963575305139,-68.444205714649,4851.39311268315,106.705271630846,-0.00404233548307825,-0.0589699984373936,3.84226899308973
1.1,-89.2387976947903,-75.3119078527875,4850.76423634307,106.784922708044,-0.00587966243360908,-0.0620144033828441,3.84215933657351
1.2,-97.3865669674395,-82.1825758828233,4850.10244039389,106.864573785243,-0.00635392910878566,-0.0619660944358884,3.84198175418907
1.3,-105.541659021039,-89.0569412822065,4849.44066606975,106.944224862441,-0.00654395921917793,-0.0619198851314944,3.84179000341817
1.4,-113.704171830578,-95.9348851370316,4848.77889172886,107.023875939639,-0.00662189952510937,-0.0618737432220814,3.84159266500312
1.5,-121.874145502676,-102.816359189129,4848.11711738742,107.103527016837,-0.00665568125287889,-0.0618276700752088,3.8413931250114
1.6,-130.051596888649,-109.701342743561,4847.45534304544,107.183178094035,-0.00667204638645033,-0.0617816655360505,3.84119271641466
1.7,-138.236533680098,-116.58982596579,4846.79356870291,107.262829171233,-0.00668153437364312,-0.0617357294513776,3.84099196456017
1.8,-146.428959956299,-123.481803305135,4846.13179435984,107.342480248432,-0.00668830373607698,-0.0616898616684168,3.84079107673369
1.9,-154.62887837003,-130.377270902414,4845.47002001622,107.42213132563,-0.00669399716581475,-0.0616440620348491,3.84059013481746
2,-162.836291009828,-137.27622556692,4844.80824567206,107.501782402828,-0.00337867915478787,-0.0668812730854888,3.84042460302445
2.1,-171.048163942624,-144.176609987185,4844.0897959619,107.581433480026,-0.00163066886145457,-0.070961773946077,3.84033721873859
2.2,-179.264409996891,-151.079444278242,4843.32701957126,107.661084557224,-0.000654770666518485,-0.0709066940929927,3.84028832140335
2.3,-187.487109141161,-157.987014260871,4842.56426994112,107.740735634422,-0.000266540445900537,-0.0708541878401019,3.84026870361369
2.4,-195.71605798512,-164.899559019809,4841.80152029042,107.82038671162,-0.000111891197906771,-0.0708017575045812,3.84026072362641
2.5,-203.951176200156,-171.817174133435,4841.03877063912,107.900037788819,-5.02209268085106e-05,-0.0707494047722723,3.84025737618121
2.6,-212.192431775276,-178.739897662677,4840.2760209872,107.979688866017,-2.56033019130859e-05,-0.0706971294694893,3.8402558748345
2.7,-220.439811932631,-185.667744772973,4839.51327133466,108.059339943215,-1.57678932473718e-05,-0.0706449314244397,3.84025510999342
2.8,-228.693311558834,-192.600721505699,4838.75052168151,108.138991020413,-1.18364586163294e-05,-0.0705928104658382,3.84025463931087
2.9,-236.952928598264,-199.53883026218,4837.98777202774,108.218642097611,-1.02656795925754e-05,-0.0705407664229057,3.84025428624508
3,-245.218662216597,-206.482071989933,4837.22502237336,108.298293174809,-3.34450799750122e-06,-0.0712162243975979,3.84025398774544
3.1,-253.490084981635,-213.430088407295,4836.45441459255,108.377944252008,-4.14904325626773e-07,-0.071163277021124,3.84025388812667
3.2,-261.76762314715,-220.383240370364,4835.68381242551,108.457595329206,7.63092255859576e-07,-0.0711109269661868,3.84025387577774
3.3,-270.051275777182,-227.341528323856,4834.91321025371,108.537246406404,1.23771053213791e-06,-0.0710586535571378,3.84025389847319
3.4,-278.341042605273,-234.304952539183,4834.14260808129,108.616897483602,1.42955444160238e-06,-0.0710064570087165,3.84025393525741
3.5,-286.636923510277,-241.273513114405,4833.37200590827,108.6965485608,1.50759185101763e-06,-0.0709543371511027,3.84025397771193
3.6,-294.938918429592,-248.247210077994,4832.60140373463,108.776199637999,1.53977614598567e-06,-0.0709022938152591,3.84025402245112
3.7,-303.247027324203,-255.226043430437,4831.83080156038,108.855850715197,1.55346587523462e-06,-0.0708503268326452,3.84025406811189
3.8,-311.561250164633,-262.210013160975,4831.06019938553,108.935501792395,1.55968782041038e-06,-0.0707984360352154,3.84025411414486
3.9,-319.881586925278,-269.199119254336,4830.28959721007,109.015152869593,1.56289113147223e-06,-0.0707466212554175,3.84025416032833
4,-328.208037582129,-276.193361693448,4829.518995034,109.094803946791,1.52821474951948e-06,-0.0699477023831561,3.84025420774348
4.1,-336.541040653423,-283.193108853393,4828.75652405584,109.174455023989,1.53836246257519e-06,-0.0698971552915761,3.84025425292711
4.2,-344.880156928788,-290.197991765449,4827.99404688754,109.254106101188,1.54314045076751e-06,-0.0698461137519409,3.84025429837841
4.3,-353.225386716316,-297.208010693163,4827.2315697232,109.333757178386,1.54575584060473e-06,-0.0697951471798784,3.84025434393758
4.4,-361.576729992722,-304.223165619462,4826.46909255826,109.413408255584,1.54749226076102e-06,-0.0697442549941621,3.84025438954065
4.5,-369.934186735464,-311.243456526987,4825.70661539272,109.493059332782,1.54887105465392e-06,-0.0696934370322315,3.84025443516166
4.6,-378.297756922227,-318.268883398199,4824.94413822659,109.57271040998,1.55010418608577e-06,-0.0696426931316953,3.84025448079005
4.7,-386.667440530818,-325.299446215514,4824.18166105988,109.652361487179,1.55127792558769e-06,-0.069592023130636,3.84025452642151
4.8,-395.043237539122,-332.33514496135,4823.41918389257,109.732012564377,1.55242742313447e-06,-0.0695414268676082,3.84025457205429
4.9,-403.425147925085,-339.375979618152,4822.65670672468,109.811663641575,1.5535670153924e-06,-0.0694909041816369,3.84025461768768
5,-411.813171666702,-346.421950168397,4821.8942295562,109.891314718773,1.51677807205593e-06,-0.0686813495304069,3.84025466450356
5.1,-420.207749504681,-353.473426853803,4821.1400744107,109.970965795971,1.5261217408823e-06,-0.0686320991719893,3.84025470902258
5.2,-428.608440010518,-360.530038840884,4820.38591297578,110.050616873169,1.5305984601568e-06,-0.0685823470574276,3.84025475378423
5.3,-437.015243492611,-367.591786393101,4819.63175154487,110.130267950368,1.53309552881621e-06,-0.068532667495694,3.84025479864463
5.4,-445.428159928684,-374.658669494094,4818.87759011338,110.209919027566,1.53477937588801e-06,-0.0684830599115573,3.84025484354567
5.5,-453.847189297158,-381.730688127255,4818.12342868131,110.289570104764,1.53612881649818e-06,-0.0684335241488856,3.84025488846348
5.6,-462.272331576668,-388.807842275815,4817.36926724867,110.369221181962,1.53734060223413e-06,-0.0683840600516956,3.84025493338826
5.7,-470.703586745963,-395.890131922959,4816.61510581547,110.44887225916,1.53849566505122e-06,-0.0683346674644559,3.84025497831597
5.8,-479.140954783864,-402.977557051876,4815.86094438169,110.528523336358,1.53962733009719e-06,-0.0682853462320853,3.84025502324497
5.9,-487.58443566925,-410.070117645781,4815.10678294734,110.608174413557,1.54074933378312e-06,-0.068236096199951,3.84025506817455
6,-496.034029381051,-417.167813687919,4814.35262151243,110.686469663054,1.50638724553688e-06,-0.0674167716868712,3.84025511429381
6.1,-504.49007453295,-424.270929633401,4813.60697419713,110.764764912552,1.51672237825669e-06,-0.067369613709948,3.8402551581876
6.2,-512.952127780386,-431.379093039662,4812.86132059876,110.84306016205,1.52162688784641e-06,-0.0673219540164725,3.8402552023521
6.3,-521.420189426692,-438.492304166315,4812.11566700432,110.921355411548,1.52429675795611e-06,-0.0672743621620686,3.84025524662807
6.4,-529.894259451105,-445.610562998432,4811.37001340935,110.999650661046,1.52603905629298e-06,-0.0672268375987996,3.84025529095036
6.5,-538.374337833593,-452.733869520766,4810.62435981386,111.077945910544,1.52739595134887e-06,-0.0671793801842282,3.84025533529197
6.6,-546.860424554359,-459.862223717875,4809.87870621784,111.156241160042,1.52859255291828e-06,-0.0671319897760331,3.84025537964167
6.7,-555.352519593725,-466.995625574255,4809.13305262129,111.23453640954,1.52972242037683e-06,-0.0670846662322954,3.8402554239948
